% ESTAÇÃO A - JANEIRO DE 2008
% Dados hidrográficos-Quadratura # 16/01/08
% Serie com 26 perfis # início 05:30 h até 18:00 h
%    Prof. (m)        Temp             Sal            Dens
 -2.0000000e+000  2.8767000e+001  3.5077000e+001  1.0222019e+003
 -2.5000000e+000  2.8738000e+001  3.5163000e+001  1.0222761e+003
 -3.0000000e+000  2.8724000e+001  3.5201000e+001  1.0223093e+003
 -3.5000000e+000  2.8714000e+001  3.5209000e+001  1.0223187e+003
 -4.0000000e+000  2.8621000e+001  3.5237000e+001  1.0223706e+003
 -4.5000000e+000  2.8567000e+001  3.5250000e+001  1.0223982e+003
 -5.0000000e+000  2.8545000e+001  3.5251000e+001  1.0224063e+003
 -5.5000000e+000  2.8277000e+001  3.5336000e+001  1.0225586e+003
 -6.0000000e+000  2.8069000e+001  3.5531000e+001  1.0227736e+003
 -6.5000000e+000  2.8052000e+001  3.5573000e+001  1.0228108e+003
 -7.0000000e+000  2.8037000e+001  3.5576000e+001  1.0228180e+003
 -7.5000000e+000  2.8016000e+001  3.5579000e+001  1.0228271e+003
 -8.0000000e+000  2.7978000e+001  3.5596000e+001  1.0228523e+003
 -8.5000000e+000  2.7951000e+001  3.5610000e+001  1.0228717e+003
 -9.0000000e+000  2.7904000e+001  3.5633000e+001  1.0229044e+003
 -9.5000000e+000  2.7881000e+001  3.5648000e+001  1.0229232e+003
 -1.0000000e+001  2.7870000e+001  3.5651000e+001  1.0229290e+003
 -1.0500000e+001  2.7866000e+001  3.5654000e+001  1.0229326e+003
 -1.1000000e+001  2.7860000e+001  3.5658000e+001  1.0229375e+003
 -1.1500000e+001  2.7856000e+001  3.5662000e+001  1.0229419e+003
 -1.2000000e+001  2.7845000e+001  3.5670000e+001  1.0229515e+003
 -1.2500000e+001  2.7835000e+001  3.5678000e+001  1.0229608e+003
 -1.2840000e+001  2.7835000e+001  3.5678000e+001  1.0229610e+003
  0.0000000e+000  2.8783000e+001  3.4850000e+001  1.0220260e+003
 -5.0000000e-001  2.8791000e+001  3.4854000e+001  1.0220264e+003
 -1.0000000e+000  2.8782000e+001  3.4858000e+001  1.0220324e+003
 -1.5000000e+000  2.8776000e+001  3.4859000e+001  1.0220352e+003
 -2.0000000e+000  2.8754000e+001  3.4888000e+001  1.0220642e+003
 -2.5000000e+000  2.8736000e+001  3.4921000e+001  1.0220950e+003
 -3.0000000e+000  2.8641000e+001  3.4981000e+001  1.0221716e+003
 -3.5000000e+000  2.8491000e+001  3.5028000e+001  1.0222566e+003
 -4.0000000e+000  2.8368000e+001  3.5123000e+001  1.0223685e+003
 -4.5000000e+000  2.8320000e+001  3.5192000e+001  1.0224362e+003
 -5.0000000e+000  2.8262000e+001  3.5264000e+001  1.0225094e+003
 -5.5000000e+000  2.8228000e+001  3.5306000e+001  1.0225522e+003
 -6.0000000e+000  2.8219000e+001  3.5338000e+001  1.0225792e+003
